id,title,industry_code,phase_code,industry_code_isic,industry_code_isic_tag
5452,Latency Requirements,RTS,,62,"62 Computer programming, consultancy and related activities"
5459,State Management Design,RTS,,39,39_Reme_Acti
5494,Data Quality Report,RTS,,50,50
5505,Performance Requirements,ARVR,,52,52_Ware_And
5523,Performance Testing,ARVR,,52,52_Ware_And
5538,User Engagement Metrics,ARVR,,98,98_Undi_Good
5546,User Onboarding Experience,ARVR,,98,98_Undi_Good
5567,Integration Requirements,CONV,,62,"62 Computer programming, consultancy and related activities"
5651,Performance Testing,CV,,52,52_Ware_And
5671,Data Quality Monitoring,CV,,62,62
5700,Latency Requirements,NLP,,62,"62 Computer programming, consultancy and related activities"
5728,API Gateway Setup,NLP,,62,"62 Computer programming, consultancy and related activities"
5746,API Documentation,NLP,,62,"62 Computer programming, consultancy and related activities"
5767,Latency Requirements,STR,,62,"62 Computer programming, consultancy and related activities"
5770,Scalability Requirements,STR,,62,"62 Computer programming, consultancy and related activities"
5775,State Management Design,STR,,39,39_Reme_Acti
5780,Capacity Planning,STR,,84,84 Public administration and defence; compulsory social security
5788,Monitoring Infrastructure Setup,STR,,62,62
5795,Encryption Implementation,STR,,62,"62 Computer programming, consultancy and related activities"
5820,API Documentation,STR,,62,"62 Computer programming, consultancy and related activities"
5844,Scalability Requirements,SRCH,,62,"62 Computer programming, consultancy and related activities"
5865,Performance Testing,SRCH,,52,52_Ware_And
5866,Scalability Testing,SRCH,,71,71_Arch_And
5920,Performance Requirements,GIS,,52,52_Ware_And
5942,Performance Testing,GIS,,52,52_Ware_And
5983,Budget Proposal Template,,,47,47
5984,Request for Proposal (RFP),,,52,52_Ware_And
5985,Audit Checklist,,,86,86 Human health activities
5986,System Retirement Plan,,,62,"62 Computer programming, consultancy and related activities"
5987,Disaster Recovery Plan (DRP),,,38,38_Wast_Coll
5988,Change Request Form (RFC),,,52,52_Ware_And
5989,Capacity Forecast Report,,,52,52_Ware_And
5990,Risk Register,,,71,71
6054,Latency Requirements,38,,62,"62 Computer programming, consultancy and related activities"
6061,State Management Design,38,,39,39_Reme_Acti
6096,Data Quality Report,38,,50,50
6107,Performance Requirements,39,,52,52_Ware_And
6125,Performance Testing,39,,52,52_Ware_And
6140,User Engagement Metrics,39,,98,98_Undi_Good
6148,User Onboarding Experience,39,,98,98_Undi_Good
6169,Integration Requirements,40,,62,"62 Computer programming, consultancy and related activities"
6253,Performance Testing,41,,52,52_Ware_And
6273,Data Quality Monitoring,41,,62,62
6302,Latency Requirements,42,,62,"62 Computer programming, consultancy and related activities"
6330,API Gateway Setup,42,,62,"62 Computer programming, consultancy and related activities"
6348,API Documentation,42,,62,"62 Computer programming, consultancy and related activities"
6369,Latency Requirements,43,,62,"62 Computer programming, consultancy and related activities"
6372,Scalability Requirements,43,,62,"62 Computer programming, consultancy and related activities"
6377,State Management Design,43,,39,39_Reme_Acti
6382,Capacity Planning,43,,84,84 Public administration and defence; compulsory social security
6390,Monitoring Infrastructure Setup,43,,62,62
6397,Encryption Implementation,43,,62,"62 Computer programming, consultancy and related activities"
6422,API Documentation,43,,62,"62 Computer programming, consultancy and related activities"
6446,Scalability Requirements,44,,62,"62 Computer programming, consultancy and related activities"
6467,Performance Testing,44,,52,52_Ware_And
6468,Scalability Testing,44,,71,71_Arch_And
6522,Performance Requirements,45,,52,52_Ware_And
6544,Performance Testing,45,,52,52_Ware_And
6585,Cost-Benefit Analysis (CBA),,,71,71_Arch_And
6586,Total Cost of Ownership (TCO),,,98,98_Undi_Good
6587,CapEx/OpEx Planning,,,62,"62 Computer programming, consultancy and related activities"
6588,ROI Projections,,,62,"62 Computer programming, consultancy and related activities"
6589,Cost Tracking Report,,,50,50
6590,Request for Information (RFI),,,52,52_Ware_And
6591,Vendor Evaluation Matrix,,,62,"62 Computer programming, consultancy and related activities"
6592,Contract Template,,,62,"62 Computer programming, consultancy and related activities"
6593,SLA Agreement Template,,,62,"62 Computer programming, consultancy and related activities"
6594,Vendor Risk Assessment,,,64,64
6595,Procurement Checklist,,,86,86 Human health activities
6596,Compliance Report Template,,,69,69
6597,Policy Review Record,,,65,65_Insu
6598,Certification Documentation,,,62,"62 Computer programming, consultancy and related activities"
